TELERIDE_NUMBER,STOP_NAME,STATUS,point
5287,WB 17 AV SW@ 1 ST SW,ACTIVE,POINT (-114.066585816163 51.037904162887)
7702,SB Laguna WY @ Los Alamos CR NE,ACTIVE,POINT (-113.926891576121 51.0903507066677)
5581,WB 11 AV SW @ 2 ST SW,ACTIVE,POINT (-114.068728911124 51.0425993471844)
2329,SB 68 ST NE @ 43 AV NE,ACTIVE,POINT (-113.935392364555 51.0912882540397)
7325,EB Sandarac DR @ Sandalwood GA NW,ACTIVE,POINT (-114.10398911063 51.1396512865514)
6122,EB Heritage DR @ Bonaventure DR SE,ACTIVE,POINT (-114.067222609294 50.97948005875)
9575,NB Rocky Ridge RD @ Royal Oak GD NW,ACTIVE,POINT (-114.23398057804 51.1523972803994)
5964,EB Deer Ridge DR @ Deerview DR SE,ACTIVE,POINT (-114.018636209381 50.9249622341148)
8503,NB 25 ST SE @ 45 AV SE,ACTIVE,POINT (-113.998999893089 51.0136901436696)
7201,EB Ranchview DR @ Ranchlands BV NW,ACTIVE,POINT (-114.177400678458 51.1198693150653)
6554,EB Bowness RD @ Home RD NW,ACTIVE,POINT (-114.164838762482 51.075284432962)
6309,WB Richmond RD @ 33 ST SW,ACTIVE,POINT (-114.135161763883 51.0243245276656)
4583,WB 6 AV SW @ 2 ST SW,ACTIVE,POINT (-114.068693890858 51.0476715871051)
2148,WB 14 AV SW @ Ascot DR,ACTIVE,POINT (-114.220049325342 51.0452642295046)
9867,NB Copperfield BV @ Copperstone LD SE,INACTIVE,POINT (-113.923587454434 50.915555568535)
4220,EB Braeside DR @ Brookpark DR SW,ACTIVE,POINT (-114.108657178912 50.9540417687698)
9699,WB Panatella BV @ Panatella CL NW,ACTIVE,POINT (-114.077020438664 51.1641202000379)
6386,SB Whitefield DR@ 44 AV NE,INACTIVE,POINT (-113.97239918342 51.0920787881753)
8481,SB Signall Hill DR @ Sienna Park DR SW,ACTIVE,POINT (-114.182585706635 51.0287615157793)
7018,NB Canterbury DR @ 120 AV SW,ACTIVE,POINT (-114.075506060833 50.9453990552178)
8594,NB Arbour Crest DR @ Arbour Crest RI NW,ACTIVE,POINT (-114.20826580717 51.1370078800846)
5666,EB 12 AV SW @ 31 ST SW,INACTIVE,POINT (-114.132113613238 51.0413488158871)
5172,SB Centre ST N @ 43 AV N,ACTIVE,POINT (-114.062535758231 51.0910610359671)
6793,SB Arbour Lake DR @ Arbour Vista HL NW,ACTIVE,POINT (-114.199482509635 51.1366178448973)
7602,NB Coral Springs BV @ Coral Shores DR NE,ACTIVE,POINT (-113.925885888518 51.1044285301909)
5382,NB Sandstone DR @ Berkshire BV NW,ACTIVE,POINT (-114.089727796064 51.1342959234329)
2232,NB 110 AV NW @ 112 AV NW,INACTIVE,POINT (-114.190525971285 51.1537686971358)
8398,69 Street West LRT Station,ACTIVE,POINT (-114.186098786236 51.0374001968063)
6603,SB Nose Hill DR @ Crowfoot RD NW,ACTIVE,POINT (-114.19689708542 51.1257263881983)
4810,SB Fairmount DR @  Fairview DR SE,ACTIVE,POINT (-114.062432886112 50.9874101109242)
4676,SB Barlow TR @ Freeport BV NE,ACTIVE,POINT (-114.001973759823 51.1499862892485)
8750,EB 54 AV SW @ 21 ST SW,ACTIVE,POINT (-114.11130847059 51.0049375864318)
7282,WB Falconridge BV @ Falworth WY NE,INACTIVE,POINT (-113.953095452983 51.1049884570533)
8379,69 Street West LRT Station,ACTIVE,POINT (-114.186292850885 51.0373994760133)
4293,WB 78 AV SE @ 24 ST SE,INACTIVE,POINT (-114.002289563853 50.9832544301213)
6487,WB 6 AV NW @ 18 ST NW,ACTIVE,POINT (-114.102017577254 51.0576600196021)
6360,SB 52 ST E @ Memorial DR,ACTIVE,POINT (-113.955703581387 51.0526962747232)
6915,SB Ogden RD @ Millican RD SE,ACTIVE,POINT (-114.010809946711 51.000563545983)
2293,WB Country Hills BV @ Barlow TR NE,ACTIVE,POINT (-114.002975592144 51.1545193213812)
4425,WB 58 AV SE @ 4 ST SE,ACTIVE,POINT (-114.054644600806 51.0014708807927)
9480,SB Marlborough WY @ S.of Maryvale DR NE,ACTIVE,POINT (-113.977078100449 51.0549515999343)
7033,SB Douglas Woods DR @ Douglas Woods GV SE,ACTIVE,POINT (-113.989332497268 50.9416962913006)
2453,NB Seton WY @ Seton Cir  SE,INACTIVE,POINT (-113.956475762557 50.8725682029705)
4953,NB Lake Fraser Dr @ N. of Lake Fraser GA SE,ACTIVE,POINT (-114.067916010796 50.942249227554)
4467,NB 39 ST SE @ Dovercliffe WY,ACTIVE,POINT (-113.976582039067 51.023797874022)
7110,WB Varsity Estates DR @ Varsity Estates RI NW,ACTIVE,POINT (-114.167752648234 51.0965285972528)
4146,SB Panatella DR @ Panatella GA NW,ACTIVE,POINT (-114.073699158406 51.1671618706433)
2053,EB Nolan Hill BV @ Nolanshire PT 100 NW,ACTIVE,POINT (-114.161943207021 51.1715152920775)
5641,EB Southland DR @ E. of 14 ST SW,ACTIVE,POINT (-114.090906603455 50.9622123997598)
2320,NB 68 ST NE @ 43 AV NE,ACTIVE,POINT (-113.934919685107 51.091912702857)
7726,WB 71 AV SE @ 5 ST SE,ACTIVE,POINT (-114.051409177356 50.9886523152762)
4014,NB Edgepark BV @ Edgebyne CR NW,ACTIVE,POINT (-114.156347929648 51.1291900326052)
4615,NB Remington RD @ Regal CR NE,ACTIVE,POINT (-114.039378411738 51.0631858844368)
5832,SB 12 ST E @ Centre AV E,ACTIVE,POINT (-114.033810782893 51.0520348110339)
7040,EB McKenzie DR @ McKenna CR SE,ACTIVE,POINT (-113.986992923161 50.9014814608797)
7741,NB Centre ST S @ 61 AV S,ACTIVE,POINT (-114.063699950724 50.9982629283835)
7121,SB Varsity Estates DR @ 1000 Varsity Estates PL NW,ACTIVE,POINT (-114.174214752181 51.0994824133832)
7443,EB Coral Springs BV @ Coral Sands TC NE,ACTIVE,POINT (-113.927480700952 51.0989115315018)
7157,WB Scurfield DR @ Scotia PT NW,ACTIVE,POINT (-114.216012715769 51.1225495522022)
9835,WB Bowness RD @ 46 ST NW,ACTIVE,POINT (-114.160768331661 51.072972869284)
7670,EB Falshire DR @ Falshire CL NE,ACTIVE,POINT (-113.944663248516 51.1053070302299)
6254,WB Castleridge BV @ Westwinds DR NE,ACTIVE,POINT (-113.96384690356 51.1013501500774)
6209,EB 86 AV SE @ 24 ST SE,INACTIVE,POINT (-113.997995322794 50.9758913223664)
2074,WB Sage Valley Dr @ Sage Valley Cir NW,INACTIVE,POINT (-114.149842441052 51.180246065134)
7050,SB Mountain Park DR @ Mount Norquay GA SE,ACTIVE,POINT (-113.997371512158 50.9062106866617)
8144,NB 52 ST NE @ Rundlehorn DR,INACTIVE,POINT (-113.958202496591 51.0724785697473)
4527,EB 76 AV SE @ 21A ST SE,ACTIVE,POINT (-114.006723806351 50.984987343781)
8677,NB Symons Valley PY @ N. of Evanston WY NW,ACTIVE,POINT (-114.106747824054 51.1760411072932)
4430,EB 42 AV SE @ 9 ST SE,ACTIVE,POINT (-114.040164464407 51.0159643490733)
9386,SB Somerset - Bridlewood CTrain Station,ACTIVE,POINT (-114.06894532894 50.8987301270697)
5504,EB 20 AV NW @ 19 ST NW,ACTIVE,POINT (-114.105714086358 51.0704703425666)
7421,NB 14 ST NW @ Rosehill DR,ACTIVE,POINT (-114.094599785019 51.0781008499163)
5883,NB 28 ST SE @ 30 AV SE,ACTIVE,POINT (-113.991913527676 51.0273331611643)
7727,EB 71 AV SE @ Blackfoot TR,INACTIVE,POINT (-114.052537812496 50.9883839854906)
6952,WB Heritage DR @ 5 ST SW,ACTIVE,POINT (-114.079523199374 50.9796445637473)
7164,SB Scurfield DR @ Scenic GD NW,ACTIVE,POINT (-114.211196060066 51.1206537764449)
5040,EB Kensington RD @ 25 ST NW,ACTIVE,POINT (-114.119872194417 51.0523809971802)
6518,WB Strathcona DR @ Stradbrooke RI SW,ACTIVE,POINT (-114.179539743268 51.0434483179611)
9139,EB Crestmont BV @ Crestmont DR SW,ACTIVE,POINT (-114.262939482128 51.086447831346)
5185,SB 4 ST SW@ 25 AV SW,ACTIVE,POINT (-114.071649377377 51.0302326774153)
3752,EB Glenmore TR @ Crowchild TR SW,INACTIVE,POINT (-114.116649168313 50.9995107880743)
9684,SB Aspen Stone BV @ 17 AV SW,ACTIVE,POINT (-114.216900335663 51.0381482161273)
8269,SB 65 ST SE @ 14 AV SE,ACTIVE,POINT (-113.939422306197 51.0401092981329)
9764,EB Panamount BV @ W. Leg Panamount RD NW,ACTIVE,POINT (-114.091834259051 51.1567272710989)
2265,EB Skyview Ranch DR @ 52 ST NE,ACTIVE,POINT (-113.957853129955 51.1578797342036)
3884,EB 9 AV S @ Centre ST S,ACTIVE,POINT (-114.062344387119 51.0445077368666)
6903,SB 4 ST SW @ 52 AV SW,ACTIVE,POINT (-114.07163030527 51.0065575761534)
9034,SB Northmount DR @ Thornhill DR NW,ACTIVE,POINT (-114.076617915887 51.0987720546467)
9246,NB 24 ST SW @ Southland DR,ACTIVE,POINT (-114.117782995388 50.9619041903167)
7617,WB 2 AV SW @ 4 ST SW,INACTIVE,POINT (-114.072157312124 51.0515812959701)
5920,WB McKenzie Towne BV @ 52 ST SE,ACTIVE,POINT (-113.95945253399 50.9182895317187)
6660,NB Centre ST N @ 38 AV N,ACTIVE,POINT (-114.062347132344 51.0875033261052)
9962,EB 5 AV SE @ Macleod TR,INACTIVE,POINT (-114.056652912493 51.0480793198389)
5910,NB Ranchview DR @ Ranchview ME NW,ACTIVE,POINT (-114.176074485758 51.1186499819477)
7319,EB Centre AV @ 17 ST E,ACTIVE,POINT (-114.012954066489 51.0523577150793)
4499,EB Whitehorn DR @ 48 ST NE,ACTIVE,POINT (-113.963775386303 51.0854864765029)
9889,SB Tuscany Springs BV @  S. of Tusslewood VW NW,ACTIVE,POINT (-114.247757282709 51.1355070489044)
7406,WB 32 AV NE @ 15A ST NE,ACTIVE,POINT (-114.021565975915 51.0815953753421)
2025,Crescent Heights High School,ACTIVE,POINT (-114.06513868594 51.0609909715927)
9016,SB 4 ST NE @ Huntbourne WY,ACTIVE,POINT (-114.055879220868 51.1139922325184)
9879,Crowfoot LRT Station,ACTIVE,POINT (-114.207597723911 51.1236799664249)
5481,NB 14 ST NW @ North Haven DR,ACTIVE,POINT (-114.094557203436 51.0924465003086)
6440,Southland LRT Station EB,ACTIVE,POINT (-114.077517481181 50.9641680028955)
7245,NB Arbour Ridge WY @ Arbour Ridge CI NW,ACTIVE,POINT (-114.190871830349 51.1390376063418)
8626,NB Old Banff Coach RD @ Patterson HL SW,ACTIVE,POINT (-114.185077283046 51.063181354021)
8444,EB Centre ST @ Beddington DR N,ACTIVE,POINT (-114.071266813885 51.1282669304548)
7082,SB  Edenwold DR @ Edcath RI NW,ACTIVE,POINT (-114.138111188296 51.1235908778331)
9635,WB Martin Crossing DR @ Martindale DR NE,ACTIVE,POINT (-113.954338703317 51.1186465237663)
9911,WB @ Fish Creek-Lacombe Station,INACTIVE,POINT (-114.074693160946 50.9243132696601)
5108,Sunnyside LRT Station (SB 9A ST NW @ 4 AV NW),ACTIVE,POINT (-114.08467762579 51.0562750109921)
4659,WB Oakfield DR @ W. of Cedarbrook BA SW,ACTIVE,POINT (-114.125700238552 50.954093987078)
4830,NB Fairmount DR @ 86 AV SE,ACTIVE,POINT (-114.059846731421 50.9762451938445)
8334,SB Harvest Hills DR @ 400 Harvest Grove PL NE,ACTIVE,POINT (-114.046436472036 51.1507991169773)
8439,WB Royal Oak WY @ Royal Oak PA NW,ACTIVE,POINT (-114.221283294808 51.1509268268641)
4874,NB Hunterview DR @ Huntsbay RD NW,ACTIVE,POINT (-114.079771647656 51.111965353557)
8733,NB Elbow DR @ 30 AV SW,ACTIVE,POINT (-114.078489293416 51.0267161092323)
2220,SB Walden BV @ Walden RI SE,ACTIVE,POINT (-114.030047624705 50.872034534476)
7061,NB Brisebois DR @ Crawford RD NW,ACTIVE,POINT (-114.127124277786 51.0981900311487)
4141,WB Chaparral DR @ Chapala MT SE,ACTIVE,POINT (-114.039744856563 50.8821163589104)
8911,SB Rocky Ridge BV @ Rockbluff CL NW,ACTIVE,POINT (-114.249095789017 51.1483377101244)
5602,EB Everridge DR @ Evermeadow GA SW,ACTIVE,POINT (-114.121265134708 50.9108809406871)
7346,EB 37 AV NE @ 26 ST NE,ACTIVE,POINT (-113.997122173106 51.086600373268)
8609,EB Sierra Morena BV @ Sierra Morena CO SW,ACTIVE,POINT (-114.179883922412 51.0201692901547)
6855,EB 5 AV SW @ 7 ST SW,ACTIVE,POINT (-114.078856573248 51.0487627623191)
4889,EB 144 AV NW @ Sage Valley DR NW,ACTIVE,POINT (-114.146849911592 51.1830522403506)
7638,NB Kincora DR @ Kincora MR NW,ACTIVE,POINT (-114.138333453035 51.1569935130564)
4067,SB 53 ST NW @ Valiant DR,INACTIVE,POINT (-114.164545355333 51.089650824645)
8084,NB 8 ST SW @ 4 AV SW,INACTIVE,POINT (-114.080781296916 51.0501511261996)
7914,WB Richmond RD @ 22 ST SW,INACTIVE,POINT (-114.114199341344 51.0311571016534)
2483,EB Quarry Park BV @ Quarry WY SE,ACTIVE,POINT (-114.015807251299 50.9635301415039)
3567,SB Chaparral Valley DR @ Chaparral Valley VW SE,ACTIVE,POINT (-114.015431022811 50.8853502385434)
8654,WB 32 AV NW @ 37 ST NW,INACTIVE,POINT (-114.141976958251 51.0815812879327)
9759,WB Hidden Valley DR @ E. Leg Hidden Ranch CR NW,ACTIVE,POINT (-114.121603795063 51.1509376557987)
5974,Anderson LRT Station,ACTIVE,POINT (-114.073817515157 50.954528918272)
5268,EB 78 AV NE @ Huntham RD NE,ACTIVE,POINT (-114.066194654202 51.1218262397486)
4598,WB 66 AV SW @ Legare DR,ACTIVE,POINT (-114.12695664011 50.9946468447788)
2500,All Saints High School,ACTIVE,POINT (-114.02544941633 50.859615552295)
2161,City Hall LRT Station (NB Macleod TR @ 7 AV SE),INACTIVE,POINT (-114.057947663945 51.0465189479635)
7046,NB McKenzie Lake WY @ McKenzie Lake MR SE,ACTIVE,POINT (-113.9776898659 50.9093814471477)
9921,SB 5 ST SW @ 7 AVE SW,ACTIVE,POINT (-114.073934024905 51.0464222886728)
4117,NB Shawville BV @ N. of Shalom WY SE,ACTIVE,POINT (-114.067613949433 50.9079165982369)
6176,SB Abbotsford DR@ Abingdon CR NE,ACTIVE,POINT (-113.926986371714 51.0620006383316)
6083,SB Silver Ridge DR @ Silver Springs BV NW,ACTIVE,POINT (-114.196893524705 51.1083217599012)
9926,NB @ Glenmore Auxiliary Hospital,ACTIVE,POINT (-114.098443713934 50.9920077108422)
8315,EB Queensland PL @ Queensland DR SE,ACTIVE,POINT (-114.02586780419 50.9394310137151)
9492,WB 116 AV SE @ 44 ST SE,INACTIVE,POINT (-113.972801872705 50.9471874057494)
3954,WB 3 AV NW @ 34A ST NW,ACTIVE,POINT (-114.139035792235 51.0591303648388)
8544,EB Country Hills BV @ Edgebrook BV NW,ACTIVE,POINT (-114.130917593441 51.1404863901606)
3388,9th Avenue SE Station (WB),ACTIVE,POINT (-114.021302036358 51.0366975153528)
4316,SB Panorama Hills BV @ Panorama Hills MR NW,ACTIVE,POINT (-114.077289346639 51.1528565059373)
5446,WB 6 AV SW @ 8 ST SW,INACTIVE,POINT (-114.081509641939 51.0481005112772)
9796,EB 5 AV SW @ 9 ST SW,INACTIVE,POINT (-114.082849675441 51.0488706719587)
6979,WB 50 AV SW @ Crowchild TR,ACTIVE,POINT (-114.122532941931 51.008776739124)
6539,WB 46 AV SW @ 37 ST SW,ACTIVE,POINT (-114.141820490138 51.012533621115)
6618,NB 19 ST NW @ 20 AV NW,ACTIVE,POINT (-114.106197543127 51.0709590456749)
4976,WB 72 AV SE @ W. of 52 ST SE,INACTIVE,POINT (-113.960899312402 50.9895447586934)
7233,WB Hawkstone DR @ Hawkmount CL NW,ACTIVE,POINT (-114.176183066423 51.1349058811285)
4366,EB Abbotsford DR @ 68 ST NE,ACTIVE,POINT (-113.934403968366 51.06272630046)
4679,NB 8 ST SW @ 19 AV SW,ACTIVE,POINT (-114.081700200024 51.036447917655)
5851,SB @ 85 AV SE Terminal,INACTIVE,POINT (-113.996583068919 50.9769550881125)
8540,EB 17 AV SW @ 29 ST SW,ACTIVE,POINT (-114.129735991111 51.037759943441)
8879,SB 52 ST SE @ 130 AV SE,ACTIVE,POINT (-113.958384470409 50.9305131731599)
8177,WB 76 AV SE @ 51 ST SE,INACTIVE,POINT (-113.959740629449 50.9851852213488)
3421,NB Mahogany BV @ Masters CR  SE (n. leg),ACTIVE,POINT (-113.910380308246 50.8988170473072)
6823,WB 1 Street SW CTrain Station,ACTIVE,POINT (-114.064382535593 51.0465738485273)
6586,Woodview Station (NB),ACTIVE,POINT (-114.117819732631 50.941756481597)
7553,SB 28 ST NE @ 10 AV NE,ACTIVE,POINT (-113.993368564134 51.0612458899433)
7093,NB 49 ST NW @ S. of 40 AV NW,ACTIVE,POINT (-114.158532200865 51.0868602831073)
7734,SB Centre ST S @ 58 AV S,ACTIVE,POINT (-114.063929398398 51.0009491952334)
7228,WB @ Hawkstone DR NW Terminal,ACTIVE,POINT (-114.166070383889 51.1331230078647)
4757,WB Millrise DR @ Millside DR SW,ACTIVE,POINT (-114.078839863392 50.9169405072518)
5727,SB 19 ST NE @ 14 AV NE,ACTIVE,POINT (-114.013580188108 51.0656862841084)
8248,SB Sunmills DR @ Sun Harbour CR SE,ACTIVE,POINT (-114.028009484955 50.8989356565186)
6724,North Hill Station (EB),ACTIVE,POINT (-114.10536825034 51.066771204669)
4463,NB 44 ST SE @ 19 AV SE,ACTIVE,POINT (-113.969897725262 51.0366404624246)
9943,WB Ogden RD @ 16A ST SE,ACTIVE,POINT (-114.020370083299 51.0186540666666)
2184,WB 100 AV NE @ 19 ST NE,ACTIVE,POINT (-114.014165975106 51.1434506297368)
4102,NB Harvest Hills BV @ Country Hill BV NE,ACTIVE,POINT (-114.067363069999 51.1542179179794)
9322,SB Bonaventure DR @ Lake Fraser WY SE,ACTIVE,POINT (-114.064061783006 50.9390220487966)
6670,WB 33 AV SW @ Crowchild TR,ACTIVE,POINT (-114.122402318784 51.0249282432149)
9827,WB 7 AV SW @ 6 ST SW,INACTIVE,POINT (-114.075919088807 51.0469172569273)
4742,NB Somercrest ST @ Somerset DR SW,ACTIVE,POINT (-114.089540470768 50.9008019398979)
2601,Rundlehill Dr@ Dr Gordon Higgins School,INACTIVE,POINT (-113.969947554597 51.0757072524186)
7677,SB Douglas Woods DR @ Douglas Woods PL SE,ACTIVE,POINT (-114.000713943719 50.9460282152846)
6045,SB 19 ST NE @ 35 AV NE,ACTIVE,POINT (-114.01172251077 51.083655663453)
8513,SB 6 ST SW @ Somerset GA,ACTIVE,POINT (-114.074999562112 50.8994937581579)
7663,WB 22 AV NE @ 68 ST NE,ACTIVE,POINT (-113.936058605292 51.0726823186503)
7507,SB 19 ST NE @ Matheson DR,ACTIVE,POINT (-114.010362509041 51.0553676818542)
6908,SB Coventry DR @ Coverdale RD NE,ACTIVE,POINT (-114.043517256061 51.1614246300273)
9953,Sirocco Park N Ride Terminal,INACTIVE,POINT (-114.166820549008 51.0379414833313)
4025,Dalhousie LRT Station NB,ACTIVE,POINT (-114.158080105637 51.1037772826888)
5648,SB 6 AV SW @ 15 ST SW,ACTIVE,POINT (-114.095722827351 51.0462691014988)
2447,SB Aspen Summit DR @ Aspen Glen WY SW,ACTIVE,POINT (-114.203669730526 51.0389286079253)
9898,SB  Tusslewood DR @  Tusslewood HT NW,ACTIVE,POINT (-114.250853521174 51.1358497574761)
6376,EB 78 AV SE @ 24 ST SE,INACTIVE,POINT (-114.001127620802 50.9831526211238)
4563,EB Falconridge DR @ Falconridge CR NE,ACTIVE,POINT (-113.951987775753 51.0985910809837)
7104,NB Westwinds DR @ 52 AV NE,ACTIVE,POINT (-113.976074837627 51.1005393413358)
7250,SB Manning RD @ Centre AV NE,ACTIVE,POINT (-114.01724538138 51.052647300638)
5947,EB Capri AV @ Brisebois DR NW,INACTIVE,POINT (-114.125808855565 51.095216397909)
5434,SB University DR @ 13 AV NW,ACTIVE,POINT (-114.119321233418 51.0637817998464)
9900,WB 64 AV NW @ Tregillus ST,ACTIVE,POINT (-114.067840100802 51.1107436588515)
3692,NB Evanston VW @ Evansford RD NW,ACTIVE,POINT (-114.112493332118 51.1672685495687)
9547,WB Saddlecrest BV @ 68 ST NE,ACTIVE,POINT (-113.934567169921 51.1373086468632)
3761,54 Avenue SW Station (NB),ACTIVE,POINT (-114.117693043816 51.0053427476587)
5545,NB Fairmount DR @  Willow Ridge PL SE,ACTIVE,POINT (-114.059226409938 50.9567553959104)
9309,NB Nose Hill DR @ John Laurie BV NW,ACTIVE,POINT (-114.193566768483 51.1283178485784)
4284,EB 57 AV SE @ 58 AV SE,ACTIVE,POINT (-113.989137774797 51.0017246324945)
6947,NB Sunlake RD @ Sunmeadows RD SE,ACTIVE,POINT (-114.044800390791 50.8954673755781)
2325,SB 68 ST NE @ Falshire DR,ACTIVE,POINT (-113.935402608654 51.1076487407156)
5121,WB 6 AV SW @ 3 ST SW,ACTIVE,POINT (-114.070587060019 51.0477460771806)
6322,SB Millrise BV @ Millrose PL SE,ACTIVE,POINT (-114.075209998093 50.9193429847924)
7383,NB Signal Hill DR @ Signal Hill WY SW,ACTIVE,POINT (-114.170101445795 51.0274162393311)
2380,EB Savanna BV @ Savanna CM NE,ACTIVE,POINT (-113.955107593853 51.1349151258837)
4911,EB 130 AV SE @ 46 ST SE,ACTIVE,POINT (-113.966939770089 50.9318153228437)
6653,SB Centre ST N @ 36 AV N,ACTIVE,POINT (-114.062569245268 51.0846755321491)
9071,SB 8 ST NE @ 72 AV NE,ACTIVE,POINT (-114.044712586129 51.1174431805616)
7983,NB Chaparral BV @ Chaparral RIDGE DR SE,ACTIVE,POINT (-114.024627057384 50.886400154729)
7470,WB Valley Ridge DR @ Valley Meadow GD NW,ACTIVE,POINT (-114.245708049711 51.0921141765399)
5815,WB Scenic Acres GA @ Scenic WY NW,ACTIVE,POINT (-114.210551953107 51.1145041038947)
5302,EB Canada Olympic RD @ Canada Olympic GT SW,ACTIVE,POINT (-114.217136076733 51.0838906243073)
8508,SB Shawville BV @ 162 AV SE,ACTIVE,POINT (-114.065701541642 50.9031281158062)
9175,WB Southland DR @ Brookpark BV SW,ACTIVE,POINT (-114.110160590653 50.9614818294153)
9756,SB Hidden Valley LI @ Hidden Valley VW,ACTIVE,POINT (-114.106802625524 51.1511523540127)
4070,EB 40 AV NW @ 40 ST NW,ACTIVE,POINT (-114.146910443356 51.0881960720476)
6105,EB 32 AV NE @ 27 ST NE,ACTIVE,POINT (-113.994146917698 51.0813877177407)
5103,SB 4 ST NW @ 64 AV NW,ACTIVE,POINT (-114.071611458957 51.110149242846)
4888,EB 78 AV NE @ McCall WY,INACTIVE,POINT (-114.002422680935 51.1225453632381)
2802,19th Street NE Station (WB),ACTIVE,POINT (-114.014449780895 51.0671018360904)
3986,WB Varsity DR @ 41 ST NW,ACTIVE,POINT (-114.149460640058 51.0924768435177)
2216,WB Walden DR SE @ Walgrove CL SE,ACTIVE,POINT (-114.023809821693 50.8657641972892)
6179,WB Memorial DR @ 52 ST NE,ACTIVE,POINT (-113.956980749186 51.0532422821783)
9062,NB Northmount DR @ 44 AV NW,ACTIVE,POINT (-114.079492053685 51.0937438799993)
2825,WB 76 AV SE @ 56 ST SE,ACTIVE,POINT (-113.952581801452 50.9852602858153)
6125,SB Acadia DR @ 94 AV SE,INACTIVE,POINT (-114.048518570071 50.9681785959364)
6354,EB Whitefield DR @ 36 ST NE,INACTIVE,POINT (-113.980445389094 51.0882842845257)
6635,SB 49 ST NW @ 34 AV NW,ACTIVE,POINT (-114.158362693521 51.0826376472222)
8841,EB Northmount  DR @ Confederation VI NW,ACTIVE,POINT (-114.098708011233 51.0838696863499)
2257,WB  Redstone DR @  Redstone ST NE,ACTIVE,POINT (-113.962568378717 51.1685336556934)
8787,WB 33 AV SW @ 19 ST SW,ACTIVE,POINT (-114.107566932074 51.0240489778711)
9397,EB Tuscany DR @ Tuscany Ridge CL NW,ACTIVE,POINT (-114.250747604396 51.1188665558665)
5532,SB Fairmount DR @ 86 AV SE,ACTIVE,POINT (-114.059980893516 50.9754750046285)
9186,EB 40 AV NW @ 9 ST NW,ACTIVE,POINT (-114.079252366817 51.0887097825871)
4334,NB Madigan DR @ Malvern DR NE,INACTIVE,POINT (-113.940395474292 51.0584578380466)
2493,WB Symons Valley PY @ 14 St NW,ACTIVE,POINT (-114.0961725519 51.1816056474331)
3788,EB 12 AV SW @ 2 ST SW,ACTIVE,POINT (-114.068727451765 51.0414929384271)
7497,EB 8 AV NE @ Mayland DR,ACTIVE,POINT (-114.006466175964 51.0602331011681)
3477,NB 8 ST @ 11 AV SW,INACTIVE,POINT (-114.08128764779 51.0431450861516)
8332,SB Harvest Hills BV @ Harvest Oak GA NE,ACTIVE,POINT (-114.064448068187 51.1465171656181)
4510,WB Ogden RD @ 16A ST SE,ACTIVE,POINT (-114.020368355042 51.0186810075709)
8209,NB 44 ST SE @ 68 AV SE,ACTIVE,POINT (-113.970047272583 50.994538308401)
8598,SB Arbour Lake DR @ Arbour Vista GA NW,ACTIVE,POINT (-114.193803579073 51.1357260773742)
6090,EB Temple DR@ 52 ST NE,ACTIVE,POINT (-113.956965640366 51.0913179502504)
8839,WB Kensington RD @ 19 ST NW,ACTIVE,POINT (-114.106201407216 51.0525728506383)
8952,WB Richmond RD @ 45 ST SW,ACTIVE,POINT (-114.153524568888 51.0188550552001)
6799,NB 48 ST NW @ Montalban AV,INACTIVE,POINT (-114.159764340466 51.0807378745971)
6177,SB Abbeydale DR @ Abergale DR NE,ACTIVE,POINT (-113.928975389237 51.0561071877502)
4516,SB Panatella BV @ Panora HT NW,ACTIVE,POINT (-114.09775568893 51.1673667843453)
6702,NB Rundlehorn DR @ 26 AV NE,ACTIVE,POINT (-113.940860060138 51.0765141542292)
4774,SB Chapala DR @ Chapala RD SE,ACTIVE,POINT (-114.031367533901 50.8785752300289)
2102,EB 9 AV SW @ 2 ST SW,INACTIVE,POINT (-114.068624664316 51.044701535466)
7465,EB Bow TR @ 37 ST SW,INACTIVE,POINT (-114.141918862952 51.0452320869997)
8828,EB 9 AV SE @ 11 ST SE,ACTIVE,POINT (-114.036298725082 51.0419067049166)
2242,NB Walden DR @ acr sleg of Walden CR SE,ACTIVE,POINT (-114.037791119021 50.8705997551997)
7374,NB Mount McKenzie DR @ Mount Aberdeen CI SE,ACTIVE,POINT (-113.981380203505 50.9281959762195)
4480,NB 28 ST SE @ 16 AV SE,ACTIVE,POINT (-113.992980108064 51.0399356930728)
6273,WB Deer Run BV @ Deerwood RD SE,ACTIVE,POINT (-114.009301297384 50.9269361152129)
9616,NB New Brighton DR@  New Brighton PA SE,ACTIVE,POINT (-113.954111963902 50.9177004526618)
5577,NB 4 ST SW @ 34 AV SW,ACTIVE,POINT (-114.071306291846 51.0234599014993)
6625,WB 13 AV NW @ 6 ST NW,INACTIVE,POINT (-114.076358572644 51.0639465490941)
8456,SB Temple DR @ Templevale GA NE,ACTIVE,POINT (-113.939393899411 51.0904990605841)
4630,EB Spruce DR @ 42 ST SW,ACTIVE,POINT (-114.147339018931 51.0522276108569)
8192,EB 54 AV SE @ E. of 27 ST SE,INACTIVE,POINT (-113.985152504702 51.0049229685911)
8566,SB University CTrain Station,ACTIVE,POINT (-114.123214572257 51.0801762823067)
7682,NB Mount McKenzie DR @ McKenzie Lake BV SE,ACTIVE,POINT (-113.981387787845 50.9173120065868)
2117,NB McKenzie Towne Terminal,INACTIVE,POINT (-113.957137264502 50.915499112996)
