TELERIDE_NUMBER,STOP_NAME,STATUS,point
5541,SB 21 ST SE @ Riverwood CL,INACTIVE,POINT (-114.009205480035 50.970550908296)
4475,SB 28 ST SE @ 14 AV SE,ACTIVE,POINT (-113.993167303511 51.04012940918)
3842,SB Nose Hill DR @ Arbour Lake WY NW,ACTIVE,POINT (-114.185269370109 51.1371218797893)
3820,SB Tuscany WY @ Tuscany Springs HL NW,ACTIVE,POINT (-114.253119193662 51.1320749780595)
4947,SB 52 ST SE @ 17 AV SE,ACTIVE,POINT (-113.958571648406 51.0370296164232)
4958,NB 30 ST SE @ 72 AV SE,INACTIVE,POINT (-113.984080144196 50.9902512622991)
7221,SB Hawkwood DR @ Hawkdale GA NW,ACTIVE,POINT (-114.183697778285 51.1300592367518)
5705,SB Russet RD @ Regal CR NE,ACTIVE,POINT (-114.042689989592 51.0629639576863)
6753,NB North Haven DR @ 56 AV NW,ACTIVE,POINT (-114.085652504087 51.103441211828)
7100,EB Hidden Valley DR @ Hidden Vale CL NW,ACTIVE,POINT (-114.103771323365 51.144955473146)
5997,EB Manhattan RD @ Blackfoot TR SE,ACTIVE,POINT (-114.049711386075 51.0113415173206)
3392,SB 1 ST SW @ 7th AV SW,ACTIVE,POINT (-114.065460001419 51.0466620945843)
6657,NB Centre ST N @ 10 AV N,ACTIVE,POINT (-114.062401568379 51.0618603244164)
8509,SB Shawville BV @ Shawville LI SE,ACTIVE,POINT (-114.06418740291 50.9007638957524)
7114,NB Silver Springs DR @ Silver Springs WY NW,ACTIVE,POINT (-114.183104038006 51.1092853543956)
4993,EB New Brighton DR @ New Brighton GD SE,ACTIVE,POINT (-113.951047903869 50.9158123680698)
2097,NB Sherview Dr @ Sherwood Bv (North Leg) NW,ACTIVE,POINT (-114.160297689282 51.165860903656)
4988,WB Saddlecrest BV @ Saddlecrest WY NE,ACTIVE,POINT (-113.940245448515 51.13749345192)
5660,NB 46 ST SW @ Bow TR,INACTIVE,POINT (-114.153904236365 51.0489607889484)
4761,WB 1 AV NE @ 9 ST NE,ACTIVE,POINT (-114.040950434949 51.0533133179847)
7474,WB Valley Springs RD @ Valley Glen HT NW,ACTIVE,POINT (-114.239842396017 51.0932349840605)
8244,EB Sunmills DR @ Sunvista CL SE,ACTIVE,POINT (-114.032474295906 50.8976191039674)
4783,SB Coventry Hills WY @ N. of Covepark SQ NE,ACTIVE,POINT (-114.061882358169 51.1668618369527)
4106,Children's Hospital (NB Childrens DR),ACTIVE,POINT (-114.146732496808 51.0755451506836)
7559,NB 28 ST NE @ 7 AV NE,ACTIVE,POINT (-113.993199444696 51.0590107749187)
4683,EB 38 AV SW @ 16 ST SW,ACTIVE,POINT (-114.099826231867 51.0201061074279)
7786,WB 17 AV SW @ Christie Park GA,ACTIVE,POINT (-114.179854769733 51.0372774569706)
